num;name;semester
S1.01;Implémentation d’un besoin client;1
S1.02;Comparaison d’approches algorithmiques;1
S1.03;Installation d’un poste pour le développement;1
S1.04;Création d’une base de données;1
S1.05;Recueil de besoins;1
S1.06;Découverte de l’environnement économique et écologique;1
P1.01;Démarche portfolio;1
R1.01;Initiation au développement;1
R1.02;Développement d’interfaces web;1
R1.03;Introduction à l’architecture des ordinateurs;1
R1.04;Introduction aux systèmes d’exploitation et à leur fonctionnement;1
R1.05;Introduction aux bases de données et SQL;1
R1.06;Mathématiques discrètes;1
R1.07;Outils mathématiques fondamentaux;1
R1.08;Introduction à la gestion des organisations;1
R1.09;Introduction à l’économie durable et numérique;1
R1.10;Anglais;1
R1.11;Bases de la communication;1
R1.12;Projet professionnel et personnel;1
S2.01;Développement d’une application;2
S2.02;Exploration algorithmique d’un problème;2
S2.03;Installation de services réseau;2
S2.04;Exploitation d’une base de données;2
S2.05;Gestion d’un projet;2
S2.06;Organisation d’un travail d’équipe;2
P2.01;Démarche portfolio;2
R2.01;Développement orienté objets;2
R2.02;Développement d’applications avec IHM;2
R2.03;Qualité de développement;2
R2.04;Communication et fonctionnement bas niveau;2
R2.05;Introduction aux services réseaux;2
R2.06;Exploitation d’une base de données;2
R2.07;Graphes;2
R2.08;Outils numériques pour les statistiques descriptives;2
R2.09;Méthodes numériques;2
R2.10;Introduction à la gestion des systèmes d’information;2
R2.11;Introduction au droit;2
R2.12;Anglais;2
R2.13;Communication technique;2
R2.14;Projet professionnel et personnel;2
S3.01A;Développement d’une application;3
P3.01;Démarche portfolio;3
R3.01;Développement web;3
R3.02;Développement efficace;3
R3.03;Analyse;3
R3.04;Qualité de développement;3
R3.05;Programmation système;3
R3.06;Architecture des réseaux;3
R3.07;SQL dans un langage de programmation;3
R3.08;Probabilités;3
R3.09;Cryptographie et sécurité;3
R3.10;Management des systèmes d’information;3
R3.11;Droit des contrats et du numérique;3
R3.12;Anglais;3
R3.13;Communication professionnelle;3
R3.14;Projet personnel et professionnel;3
S4.01A;Développement d’une application complexe;4
S4.St;Stage;4
P4.01;Démarche portfolio;4
R4.01;Architecture logicielle;4
R4.02;Qualité de développement;4
R4.03;Qualité et au-delà du relationnel;4
R4.04;Méthodes d’optimisation;4
R4.05;Anglais;4
R4.06;Communication interne;4
R4.07;Projet personnel et professionnel;4
R4.Real.08;Virtualisation;4
R4.Real.09;Management avancé des systèmes d’information;4
R4.Real.10;Complément web;4
R4.Real.11;Développement pour applications mobiles;4
R4.Real.12;Automates et langages;4
S5.01A;Développement avancé;5
P5.01;Démarche portfolio;5
R5.01;Initiation au management d’une équipe de projet informatique;5
R5.02;Projet personnel et professionnel;5
R5.03;Politique de communication;5
R5.Real.04;Qualité algorithmique;5
R5.Real.05;Programmation avancée;5
R5.Real.06;Sensibilisation à la programmation multimédia;5
R5.Real.07;Automatisation de la chaîne de production;5
R5.Real.08;Qualité de développement;5
R5.Real.09;Virtualisation avancée;5
R5.Real.10;Nouveaux paradigmes de base de données;5
R5.Real.11;Méthodes d’optimisation pour l’aide à la décision;5
R5.Real.12;Modélisations mathématiques;5
R5.Real.13;Économie durable et numérique;5
R5.Real.14;Anglais;5
S6.01A;Évolution d’une application existante;6
S6.St;Stage;6
P6.01;Démarche portfolio;6
R6.01;Initiation à l’entrepreneuriat;6
R6.02;Droit du numérique et de la propriété intellectuelle;6
R6.03;Communication : organisation et diffusion de l’information;6
R6.04;Projet personnel et professionnel;6
R6.Real.05;Développement avancé;6
R6.Real.06;Maintenance applicative;6
